Time;Power total;X_momentinis;Y_momentinis;Darbo viet. temp.;Spintos temp.;Suklio temp.;Spindelio.H.Skaitliukas,Time;Power total;X_momentinis;Y_momentinis;Darbo viet. temp.;Spintos temp.;Suklio temp.;Spindelio.H.Skaitliukas,Time;Power total;X_momentinis;Y_momentinis;Darbo viet. temp.;Spintos temp.;Suklio temp.;Spindelio.H.Skaitliukas,Time;Power total;X_momentinis;Y_momentinis;Darbo viet. temp.;Spintos temp.;Suklio temp.;Spindelio.H.Skaitliukas,Time;Power total;X_momentinis;Y_momentinis;Darbo viet. temp.;Spintos temp.;Suklio temp.;Spindelio.H.Skaitliukas,Time;Power total;X_momentinis;Y_momentinis;Darbo viet. temp.;Spintos temp.;Suklio temp.;Spindelio.H.Skaitliukas,Time;Power total;X_momentinis;Y_momentinis;Darbo viet. temp.;Spintos temp.;Suklio temp.;Spindelio.H.Skaitliukas,Time;Power total;X_momentinis;Y_momentinis;Darbo viet. temp.;Spintos temp.;Suklio temp.;Spindelio.H.Skaitliukas,Time;Power total;X_momentinis;Y_momentinis;Darbo viet. temp.;Spintos temp.;Suklio temp.;Spindelio.H.Skaitliukas,Time;Power total;X_momentinis;Y_momentinis;Darbo viet. temp.;Spintos temp.;Suklio temp.;Spindelio.H.Skaitliukas,Time;Power total;X_momentinis;Y_momentinis;Darbo viet. temp.;Spintos temp.;Suklio temp.;Spindelio.H.Skaitliukas,Time;Power total;X_momentinis;Y_momentinis;Darbo viet. temp.;Spintos temp.;Suklio temp.;Spindelio.H.Skaitliukas
2019.01.10 10:00:15;;;;24;26.56;23.52;,,,,,,,,,,,
2019.01.10 10:00:16;0.73;;;;;;,,,,,,,,,,,
2019.01.10 10:00:16;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:16;;;;24.06;26.5;23.49;,,,,,,,,,,,
2019.01.10 10:00:16;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:17;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:00:17;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:17;;;;24;26.5;23.49;,,,,,,,,,,,
2019.01.10 10:00:18;0.75;;;;;;,,,,,,,,,,,
2019.01.10 10:00:18;;0.01;0.05;;;;,,,,,,,,,,,
2019.01.10 10:00:18;;;;24.03;26.53;23.52;,,,,,,,,,,,
2019.01.10 10:00:18;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:19;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:00:19;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:19;;;;23.93;26.53;23.49;,,,,,,,,,,,
2019.01.10 10:00:19;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:20;0.75;;;;;;,,,,,,,,,,,
2019.01.10 10:00:20;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:20;;;;23.96;26.53;23.52;,,,,,,,,,,,
2019.01.10 10:00:21;0.75;;;;;;,,,,,,,,,,,
2019.01.10 10:00:21;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:21;;;;24.12;26.5;23.52;,,,,,,,,,,,
2019.01.10 10:00:21;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:22;0.77;;;;;;,,,,,,,,,,,
2019.01.10 10:00:22;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:22;;;;24;26.56;23.55;,,,,,,,,,,,
2019.01.10 10:00:23;0.75;;;;;;,,,,,,,,,,,
2019.01.10 10:00:23;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:23;;;;24;26.53;23.52;,,,,,,,,,,,
2019.01.10 10:00:23;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:24;0.78;;;;;;,,,,,,,,,,,
2019.01.10 10:00:24;;0.02;0.05;;;;,,,,,,,,,,,
2019.01.10 10:00:24;;;;24.06;26.5;23.46;,,,,,,,,,,,
2019.01.10 10:00:25;0.73;;;;;;,,,,,,,,,,,
2019.01.10 10:00:25;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:25;;;;24;26.56;23.52;,,,,,,,,,,,
2019.01.10 10:00:25;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:26;0.78;;;;;;,,,,,,,,,,,
2019.01.10 10:00:26;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:26;;;;24.06;26.56;23.55;,,,,,,,,,,,
2019.01.10 10:00:27;0.79;;;;;;,,,,,,,,,,,
2019.01.10 10:00:27;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:27;;;;24.12;26.53;23.52;,,,,,,,,,,,
2019.01.10 10:00:27;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:28;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:00:28;;0.01;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:28;;;;24.09;26.53;23.55;,,,,,,,,,,,
2019.01.10 10:00:28;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:29;0.75;;;;;;,,,,,,,,,,,
2019.01.10 10:00:29;;0.02;0.05;;;;,,,,,,,,,,,
2019.01.10 10:00:29;;;;24.03;26.53;23.52;,,,,,,,,,,,
2019.01.10 10:00:30;0.77;;;;;;,,,,,,,,,,,
2019.01.10 10:00:30;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:30;;;;24.03;26.53;23.55;,,,,,,,,,,,
2019.01.10 10:00:30;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:31;0.77;;;;;;,,,,,,,,,,,
2019.01.10 10:00:31;;0.02;0.05;;;;,,,,,,,,,,,
2019.01.10 10:00:31;;;;24.15;26.5;23.55;,,,,,,,,,,,
2019.01.10 10:00:32;0.77;;;;;;,,,,,,,,,,,
2019.01.10 10:00:32;;0.01;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:32;;;;24.09;26.53;23.55;,,,,,,,,,,,
2019.01.10 10:00:32;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:33;0.75;;;;;;,,,,,,,,,,,
2019.01.10 10:00:33;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:33;;;;24.09;26.53;23.55;,,,,,,,,,,,
2019.01.10 10:00:34;0.73;;;;;;,,,,,,,,,,,
2019.01.10 10:00:34;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:34;;;;24.09;26.53;23.52;,,,,,,,,,,,
2019.01.10 10:00:34;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:35;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:00:35;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:35;;;;24.12;26.5;23.52;,,,,,,,,,,,
2019.01.10 10:00:36;0.78;;;;;;,,,,,,,,,,,
2019.01.10 10:00:36;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:36;;;;24.09;26.53;23.52;,,,,,,,,,,,
2019.01.10 10:00:36;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:37;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:00:37;;0.01;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:37;;;;24.06;26.53;23.55;,,,,,,,,,,,
2019.01.10 10:00:37;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:38;0.79;;;;;;,,,,,,,,,,,
2019.01.10 10:00:38;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:38;;;;24.03;26.5;23.49;,,,,,,,,,,,
2019.01.10 10:00:39;0.78;;;;;;,,,,,,,,,,,
2019.01.10 10:00:39;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:39;;;;24.03;26.53;23.55;,,,,,,,,,,,
2019.01.10 10:00:39;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:40;0.74;;;;;;,,,,,,,,,,,
2019.01.10 10:00:40;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:40;;;;24.06;26.53;23.52;,,,,,,,,,,,
2019.01.10 10:00:41;0.75;;;;;;,,,,,,,,,,,
2019.01.10 10:00:41;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:41;;;;24.09;26.56;23.55;,,,,,,,,,,,
2019.01.10 10:00:41;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:42;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:00:42;;0.02;0.05;;;;,,,,,,,,,,,
2019.01.10 10:00:42;;;;24.06;26.56;23.52;,,,,,,,,,,,
2019.01.10 10:00:43;0.77;;;;;;,,,,,,,,,,,
2019.01.10 10:00:43;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:43;;;;24.06;26.53;23.49;,,,,,,,,,,,
2019.01.10 10:00:43;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:44;0.75;;;;;;,,,,,,,,,,,
2019.01.10 10:00:44;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:44;;;;24.06;26.53;23.55;,,,,,,,,,,,
2019.01.10 10:00:45;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:00:45;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:45;;;;24.09;26.53;23.55;,,,,,,,,,,,
2019.01.10 10:00:45;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:46;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:00:46;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:46;;;;24.06;26.53;23.52;,,,,,,,,,,,
2019.01.10 10:00:46;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:47;0.79;;;;;;,,,,,,,,,,,
2019.01.10 10:00:47;;0.01;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:47;;;;24.06;26.56;23.55;,,,,,,,,,,,
2019.01.10 10:00:48;0.77;;;;;;,,,,,,,,,,,
2019.01.10 10:00:48;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:48;;;;24.03;26.53;23.55;,,,,,,,,,,,
2019.01.10 10:00:48;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:49;0.75;;;;;;,,,,,,,,,,,
2019.01.10 10:00:49;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:49;;;;24.06;26.53;23.59;,,,,,,,,,,,
2019.01.10 10:00:50;0.77;;;;;;,,,,,,,,,,,
2019.01.10 10:00:50;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:50;;;;24.09;26.53;23.59;,,,,,,,,,,,
2019.01.10 10:00:50;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:51;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:00:51;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:51;;;;24.12;26.53;23.55;,,,,,,,,,,,
2019.01.10 10:00:52;0.75;;;;;;,,,,,,,,,,,
2019.01.10 10:00:52;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:52;;;;24.09;26.56;23.52;,,,,,,,,,,,
2019.01.10 10:00:52;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:53;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:00:53;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:53;;;;24.09;26.53;23.55;,,,,,,,,,,,
2019.01.10 10:00:54;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:00:54;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:54;;;;24.09;26.56;23.59;,,,,,,,,,,,
2019.01.10 10:00:54;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:55;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:00:55;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:55;;;;24.06;26.56;23.49;,,,,,,,,,,,
2019.01.10 10:00:55;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:56;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:00:56;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:56;;;;24.03;26.56;23.52;,,,,,,,,,,,
2019.01.10 10:00:57;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:00:57;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:57;;;;24.06;26.56;23.49;,,,,,,,,,,,
2019.01.10 10:00:57;;;;;;;0,,,,,,,,,,,
2019.01.10 10:00:58;0.77;;;;;;,,,,,,,,,,,
2019.01.10 10:00:58;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:58;;;;24.12;26.53;23.55;,,,,,,,,,,,
2019.01.10 10:00:59;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:00:59;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:00:59;;;;24.12;26.56;23.59;,,,,,,,,,,,
2019.01.10 10:00:59;;;;;;;0,,,,,,,,,,,
2019.01.10 10:01:00;0.77;;;;;;,,,,,,,,,,,
2019.01.10 10:01:00;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:01:00;;;;24.03;26.56;23.55;,,,,,,,,,,,
2019.01.10 10:01:01;0.77;;;;;;,,,,,,,,,,,
2019.01.10 10:01:01;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:01:01;;;;24.03;26.56;23.55;,,,,,,,,,,,
2019.01.10 10:01:01;;;;;;;0,,,,,,,,,,,
2019.01.10 10:01:02;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:01:02;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:01:02;;;;24.09;26.56;23.52;,,,,,,,,,,,
2019.01.10 10:01:03;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:01:03;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:01:03;;;;24.12;26.56;23.55;,,,,,,,,,,,
2019.01.10 10:01:03;;;;;;;0,,,,,,,,,,,
2019.01.10 10:01:04;0.77;;;;;;,,,,,,,,,,,
2019.01.10 10:01:04;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:01:04;;;;24.12;26.56;23.52;,,,,,,,,,,,
2019.01.10 10:01:04;;;;;;;0,,,,,,,,,,,
2019.01.10 10:01:05;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:01:05;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:01:05;;;;24.09;26.53;23.49;,,,,,,,,,,,
2019.01.10 10:01:06;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:01:06;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:01:06;;;;24.15;26.53;23.55;,,,,,,,,,,,
2019.01.10 10:01:06;;;;;;;0,,,,,,,,,,,
2019.01.10 10:01:07;0.78;;;;;;,,,,,,,,,,,
2019.01.10 10:01:07;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:01:07;;;;24.06;26.56;23.52;,,,,,,,,,,,
2019.01.10 10:01:08;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:01:08;;0.02;0.05;;;;,,,,,,,,,,,
2019.01.10 10:01:08;;;;24.09;26.56;23.59;,,,,,,,,,,,
2019.01.10 10:01:08;;;;;;;0,,,,,,,,,,,
2019.01.10 10:01:09;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:01:09;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:01:09;;;;24.09;26.56;23.59;,,,,,,,,,,,
2019.01.10 10:01:10;0.77;;;;;;,,,,,,,,,,,
2019.01.10 10:01:10;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:01:10;;;;24.09;26.56;23.52;,,,,,,,,,,,
2019.01.10 10:01:10;;;;;;;0,,,,,,,,,,,
2019.01.10 10:01:11;0.77;;;;;;,,,,,,,,,,,
2019.01.10 10:01:11;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:01:11;;;;24.12;26.53;23.55;,,,,,,,,,,,
2019.01.10 10:01:12;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:01:12;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:01:12;;;;24.15;26.53;23.55;,,,,,,,,,,,
2019.01.10 10:01:12;;;;;;;0,,,,,,,,,,,
2019.01.10 10:01:13;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:01:13;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:01:13;;;;24.12;26.53;23.52;,,,,,,,,,,,
2019.01.10 10:01:13;;;;;;;0,,,,,,,,,,,
2019.01.10 10:01:14;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:01:14;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:01:14;;;;24.12;26.5;23.55;,,,,,,,,,,,
2019.01.10 10:01:15;0.77;;;;;;,,,,,,,,,,,
2019.01.10 10:01:15;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:01:15;;;;24.06;26.53;23.49;,,,,,,,,,,,
2019.01.10 10:01:15;;;;;;;0,,,,,,,,,,,
2019.01.10 10:01:16;0.75;;;;;;,,,,,,,,,,,
2019.01.10 10:01:16;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:01:16;;;;24.12;26.53;23.52;,,,,,,,,,,,
2019.01.10 10:01:17;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:01:17;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:01:17;;;;24.09;26.5;23.59;,,,,,,,,,,,
2019.01.10 10:01:17;;;;;;;0,,,,,,,,,,,
2019.01.10 10:01:18;0.76;;;;;;,,,,,,,,,,,
2019.01.10 10:01:18;;0.02;0.06;;;;,,,,,,,,,,,
2019.01.10 10:01:18;;;;24.09;26.5;23.55;,,,,,,,,,,,
2019.01.10 10:01:19;0.78;;;;;;,,,,,,,,,,,
2019.01.10 10:01:19;;0.02;0.06;;;;,,,,,,,,,,,
